pdb_id	n_protein_chains_ge128	min_msa_depth	median_msa_depth	max_msa_depth
8VRW	9	704	2718	5672
9T2Z	3	704	704	704
8VSP	9	704	5839	11090
9MH0	13	709	3179	13300
9TQB	6	713	1093	1414
9T31	4	713	713	713
8S71	6	714	714	714
8Z9M	4	719	5648	5648
8XFB	3	719	5648	5648
9G6C	4	724	2191	2191
9G6D	12	724	2191	2191
9G6E	12	724	2191	2191
9HN5	2	730	730	730
9LLD	9	731	9633	10179
8Y48	3	731	731	731
9UV4	9	732	8090	9826
9UVC	3	732	732	732
9BCF	3	735	735	735
9PRW	4	737	792	792
8XEP	2	738	738	738
8ZVD	3	740	740	740
8ZVC	3	740	740	740
8ZVB	3	740	740	740
9Q0X	2	743	743	743
9Q05	1	743	743	743
9Q15	2	743	743	743
9Q0Y	2	743	743	743
9Q06	2	743	743	743
9M64	24	744	11139	33326
9M5E	12	744	9644	33326
8S3R	6	746	3285	3285
9JLI	3	746	746	746
9CU4	3	747	747	747
9GDI	2	749	3259	3259
9GCF	6	749	3259	3259
9L3R	6	751	3259	3259
9U7F	12	753	1630	20158
9C3C	9	755	1436	7423
9DDN	9	755	25541	38426
9DDM	9	755	25541	38426
8S6S	6	756	756	756
9G09	2	757	2379	2379
9K49	8	757	25541	37431
9QUQ	8	757	25541	38426
9G08	2	757	2271	2271
9QVD	10	757	25541	38426
9KCH	8	757	25541	37431
9VEC	12	758	1721	20158
9VEI	12	758	1721	20158
8S24	1	759	759	759
9MNE	2	759	759	759
9FQ8	11	760	1147	24597
9FZL	46	760	4302	40391
9I1I	1	761	761	761
9LHV	2	763	763	763
9LHQ	1	763	763	763
9LHX	2	763	763	763
9B8V	10	764	2566	5048
9YGY	14	766	3491	31988
9VQM	4	771	773	773
9QE4	8	772	15282	15282
9Q5E	3	772	772	772
9QE5	8	772	15282	15282
9MPO	6	773	773	773
9E0F	4	773	834	834
9MP0	10	773	773	784
9E0G	4	773	834	834
9JBF	2	777	777	777
9JBG	2	777	777	777
9JBI	2	777	777	777
9JBE	2	777	777	777
9JBJ	2	778	778	778
9EI2	2	779	6836	6836
9CI3	3	779	2342	2342
9M8O	33	782	782	5448
9JTL	1	783	783	783
9JTN	1	783	783	783
9VQL	2	783	783	783
9J3Z	2	785	785	785
9J40	2	785	785	785
9FNN	11	786	2589	31104
9FMV	5	786	786	4577
9FMZ	5	786	786	4577
9FP0	9	786	1414	31104
9CSD	2	788	909	909
9V8I	3	788	788	788
8VYB	2	789	932	932
8Y56	1	789	789	789
9J3X	2	790	790	790
9JPB	5	791	1939	3444
8YY9	5	791	1939	3444
9KM0	5	791	1939	3444
8YZ2	5	791	1939	3444
9JTO	1	794	794	794
9OHS	1	797	797	797
9MNT	3	798	9375	10005
9MNU	18	798	9683	10074
9OCC	13	802	1375	6456
8RQT	1	804	804	804
9V7I	27	805	2865	5959
9V7H	27	805	2865	5959
9V7L	27	805	2865	5959
9IUE	54	807	24208	43098
9VG4	1	809	809	809
9JK7	6	810	810	810
9JKA	6	810	810	810
9MNQ	3	811	9489	10385
9KNH	1	813	813	813
9KNI	3	813	813	813
9JK8	6	814	814	814
9JK6	6	814	814	814
9JK9	6	814	814	814
8ZXD	6	815	815	815
9BJA	6	824	824	824
9F5H	2	825	825	825
8Z3I	1	825	825	825
8Z11	84	830	3187	21317
9F4C	1	831	831	831
8XPG	2	833	833	833
9CC7	10	833	5566	18207
9WUF	1	835	835	835
9UEN	126	844	4205	5512
9JJ8	46	844	4343	5140
9FDY	1	851	851	851
8ZW9	3	854	873	3358
8ZWA	3	854	873	3358
9JBN	3	854	873	2567
8ZF0	3	855	880	33665
9FKP	1	856	856	856
8Z4F	2	856	856	856
9FK5	1	856	856	856
9B9F	2	856	856	856
9LQ1	2	864	864	864
8YN1	3	870	897	14203
8YN0	12	870	898	12737
8YQH	3	872	872	872
8YL7	3	873	899	12737
8YL6	3	873	899	2334
9NE4	1	874	874	874
9NE5	1	874	874	874
9NE2	2	874	874	874
9IKB	2	876	12877	12877
9E8G	33	877	5310	21738
8ZOH	13	877	2462	5397
9Y2Z	3	877	877	877
8ZOG	15	877	2462	5397
9Y31	3	877	877	877
9QVG	3	877	877	877
9QVH	3	877	877	877
9QVF	3	877	877	877
8ZOA	14	877	2462	5397
8ZO9	15	877	2462	5397
9E8J	26	877	5009	17418
9E8L	26	877	5009	17418
9E8H	78	877	5009	17418
8ZOE	10	877	2462	5397
8ZOC	15	877	2462	5397
9E8I	78	877	5009	17418
9R3W	1	880	880	880
9LPK	6	881	1634	16858
9HVY	1	882	882	882
9B9G	30	883	2446	21878
9OT6	8	883	2446	17144
8YWB	2	883	883	883
9RSX	4	885	9441	56755
9EJK	3	886	886	886
9EJM	3	886	886	886
9EJL	3	886	886	886
9LEG	9	888	981	1185
9NWT	2	890	2725	2725
9DUR	2	890	2191	2191
9NWS	2	890	2725	2725
9H41	1	893	893	893
8XP5	2	894	894	894
9DTU	3	894	894	894
9SNV	6	901	3908	3908
9VOR	4	906	12038	12038
9L0D	4	907	2705	19231
9H30	3	911	911	911
9K1L	1	916	916	916
8RK6	3	916	3126	5577
8RK7	3	916	3126	5577
9GOX	9	919	8508	9721
9T4Q	4	919	919	919
9GOY	9	920	8508	10150
9T4N	4	924	924	924
9T47	4	924	924	924
9NGU	104	924	4777	16749
9QEN	2	925	925	925
9OTI	18	926	14430	24509
9LWF	20	926	11175	54444
9LVK	18	926	11175	54444
8RXP	4	929	929	929
9FNB	4	929	929	929
8RXQ	2	929	929	929
8RYC	6	929	929	929
8RXV	6	929	929	929
8RXL	4	929	929	929
9T4O	3	931	931	931
8YDM	3	935	2495	3829
9IP3	15	938	15746	15746
9K09	48	939	2984	6461
9DHK	20	943	2597	3687
8YDN	3	944	944	944
9IP4	5	945	13617	13617
9CL6	9	949	989	1176
9IIC	4	953	9691	9691
9Q1M	2	954	954	954
9Q1N	2	954	954	954
9Q1O	2	954	954	954
9PFD	6	955	3488	3488
9DI4	2	955	3488	3488
9LWR	6	955	3247	3247
9LWQ	2	955	3238	3238
9LWS	2	955	3247	3247
8YXL	1	957	957	957
8YXP	1	957	957	957
9R7Y	27	958	958	958
9PXF	9	958	989	1172
9R7Z	30	958	958	958
9R80	30	958	958	958
8VAU	6	960	960	960
9CGY	1	961	961	961
9GSX	27	962	9076	11702
9CL5	9	966	998	1308
8RWF	3	968	968	968
8RX2	6	968	968	968
9JW1	1	972	972	972
9JTM	1	973	973	973
8YEH	5	973	973	973
8RW9	8	974	16360	16360
8YEG	5	974	974	974
9JWG	2	974	2244	2244
8YQG	6	975	975	975
9KBG	12	976	976	976
9ML2	15	978	9628	9696
9ML3	7	978	978	9689
8XGL	2	978	978	978
9ML1	15	978	9766	9852
9CL2	9	979	986	1359
9CL4	9	979	986	1359
9CL3	9	979	986	1359
9MNI	2	980	12291	12291
9BP3	5	980	5168	46440
9AUC	5	980	11062	46440
9BLW	5	980	5168	46440
9MM5	2	980	12291	12291
9SXI	3	980	980	980
9CL1	9	983	986	1339
9DDQ	8	984	24829	28990
9DDP	8	984	24829	28990
9DDO	8	984	24829	28990
9Q2D	2	991	2764	2764
9YA9	3	991	9615	9615
9DQD	2	991	2764	2764
9Q03	3	991	9615	9615
9I1J	2	992	14371	14371
9K7M	2	992	992	992
9BTW	5	993	5168	46440
9CT3	4	995	995	995
8Y6K	1	995	995	995
9EWY	1	995	995	995
9CT4	4	995	995	995
9CT6	12	995	995	995
9CT5	8	995	995	995
9N7F	4	995	995	995
9CMC	30	996	8862	10252
9OIN	8	996	996	996
9K7O	2	996	996	996
9OIM	4	996	996	996
9OIO	8	996	996	996
9OIQ	4	996	996	996
9PXU	4	1003	8962	16901
9PY2	3	1011	6452	45006
9PXW	3	1011	6452	45006
9PXY	3	1011	6452	45006
9PXX	3	1011	6452	45006
9PXV	4	1011	6452	45006
9PY4	3	1011	6452	45006
9PY3	3	1011	6452	45006
9E2U	24	1015	2731	4987
9EZC	7	1016	1016	1016
8ZBH	3	1018	1018	1018
8ZBG	3	1018	1018	1018
9PI9	18	1018	8242	9696
9IXT	9	1019	1019	1019
9IXS	3	1019	1019	1019
9BJU	8	1020	1020	1020
9GAX	6	1020	1020	1020
9FZA	2	1020	1020	1020
9S64	12	1020	1020	1020
9BOL	6	1020	1020	1020
9COP	11	1027	6281	20439
8RJJ	4	1029	1892	1892
9B7J	23	1029	7187	22340
8XVQ	4	1031	1031	1031
9YNC	30	1031	3682	4234
8XVP	4	1031	1031	1031
9YNG	31	1031	4234	22340
9D5S	2	1031	1031	1031
9CLX	2	1031	1031	1031
9DGT	35	1031	3307	22340
9HHL	37	1031	3317	22340
9D55	2	1031	1031	1031
9DGR	35	1031	3307	22340
9YND	27	1031	3682	4234
9DGV	33	1031	3307	22340
9DGU	37	1031	3307	22340
9YNE	8	1031	3682	4234
9D5M	2	1031	1031	1031
9YNH	36	1031	3682	4234
9DGS	31	1031	4437	22340
9EVE	2	1032	1032	1032
9DAN	4	1037	1037	1037
9DAT	4	1037	1037	1037
9DAW	4	1037	1037	1037
9DAV	4	1037	1037	1037
9BQ3	5	1039	5168	46440
9H59	3	1042	3320	22144
9QLU	5	1047	1047	1047
8S6Y	12	1048	1048	1048
9GU2	27	1055	6410	10180
9GU3	9	1055	6410	10180
9GU0	9	1055	6410	10180
9GU1	9	1055	6410	10180
9CE3	6	1059	1118	18804
9Y93	12	1061	1061	1061
9O2Z	4	1062	2514	17923
8RK5	6	1062	1076	1076
8ZYE	2	1062	7020	7020
8W22	3	1071	2265	6094
8W20	11	1071	2265	6094
9JW6	4	1074	1074	1074
9CAP	3	1075	1196	1227
9GAD	18	1077	1077	1077
8YJC	1	1079	1079	1079
8YCM	6	1081	1081	1081
9HYN	4	1085	8272	8272
9GAB	18	1089	1089	1089
9E0J	15	1098	2350	2689
8RXB	6	1101	1101	1101
9M8M	4	1104	2860	3480
9UOX	3	1106	1106	1106
9ZIT	3	1106	1106	1106
9LWU	18	1106	2027	11006
9I65	9	1107	1107	1107
9KQQ	45	1114	4111	5225
9B8O	16	1114	3737	5214
9LVJ	18	1116	11175	54444
9FEF	5	1124	20036	20036
9BRZ	15	1125	3737	4729
9BRT	27	1125	3737	20862
9RS7	3	1125	1841	19867
9BRQ	27	1125	3737	20862
9BRU	26	1125	4522	20862
9BRY	14	1125	3737	4729
9BRR	26	1125	4522	20862
9RS6	6	1125	1841	1841
9BRA	27	1125	3737	20862
9BRS	26	1125	4522	20862
9SMA	2	1127	1127	1127
9QWP	4	1128	1428	1428
9CF8	25	1130	3758	20642
9DET	16	1130	3758	21394
9CFC	25	1130	3758	20642
9AXA	6	1132	2487	18017
9AXC	4	1132	18017	18017
9Y02	2	1138	2451	2451
9Y01	2	1138	2451	2451
9I9L	15	1139	2366	3089
9EYS	15	1139	2366	3089
9RP9	3	1140	1140	1140
9L6F	8	1141	21512	21512
9ZIS	3	1141	1141	1141
9UOY	3	1141	1141	1141
9QVT	1	1144	1144	1144
9OOX	23	1144	2458	2458
8RKH	2	1146	1146	1146
9GBI	9	1146	2771	4734
9GC2	9	1146	2771	4818
9R7B	3	1149	1149	1149
8Y1L	5	1150	1150	2837
9LGO	10	1152	4058	4334
9DNZ	4	1153	13889	13889
9DNX	4	1153	13889	13889
9DNY	4	1153	13889	13889
9DUM	6	1155	1732	46690
8ZU8	3	1157	1157	1157
9E2V	10	1157	1157	1157
8RVL	34	1158	12398	21550
8Z30	9	1158	1158	1158
8RVP	34	1158	12398	21550
8RVO	34	1158	12398	21550
8Z36	3	1158	1158	1158
9MNS	6	1165	9065	10598
9ZPD	5	1165	1246	2025
9EQJ	2	1167	1167	1167
9HYP	3	1167	1167	1167
9HYB	4	1167	1167	1167
9RKE	8	1167	21471	21471
9RK8	12	1167	21524	21524
8ZV8	4	1167	1167	1167
9RKC	8	1167	21551	21551
9IPW	4	1167	1167	1167
8XVJ	4	1167	9006	24281
9RKN	12	1167	21471	21471
9EQM	3	1167	1167	1167
8ZVJ	4	1167	1167	1167
9HYO	1	1167	1167	1167
8XVK	4	1167	9006	24281
8XVL	4	1167	9006	24281
9RKJ	8	1167	21471	21471
9SV3	15	1167	2511	6538
8YJA	2	1169	1169	1169
9NIR	1	1170	1170	1170
8ZOI	10	1174	2462	4653
8ZOB	10	1174	2462	4653
8ZOD	10	1174	2462	4653
8ZOF	8	1174	2462	4653
8VLB	6	1178	4937	4937
8VL9	2	1178	4937	4937
9FTN	5	1180	1180	1180
9FXW	3	1180	1180	1180
9FXU	1	1180	1180	1180
9FXY	3	1180	1180	1180
9DTX	6	1184	4143	4143
9MR9	16	1184	1184	1184
9D4B	2	1184	1184	1184
9DTY	30	1184	1184	1184
9AU4	15	1185	2016	2510
8YMB	4	1185	8231	8231
8ZWB	3	1185	1215	2510
9HHM	6	1186	1186	1186
8YEZ	3	1188	1188	1188
9LZJ	58	1192	1912	2856
9LZK	17	1192	1912	2580
8VU3	15	1192	2020	2567
9KC5	12	1194	2991	3685
9EU5	3	1195	1195	1195
9VJS	19	1197	2636	4734
9ENT	3	1199	1199	1199
9IIT	2	1200	1200	1200
9M4F	18	1201	2877	4865
9KCM	4	1208	28208	39788
9BPB	28	1209	4570	42142
9MGZ	13	1209	4489	9402
9MJA	2	1210	2307	2307
9KZ7	3	1218	1218	1218
9KZ6	1	1218	1218	1218
9QNO	3	1222	1222	2813
9QOO	12	1222	11052	17304
9QON	11	1222	11052	17304
9QOP	3	1222	1222	2813
8RWZ	2	1223	3936	3936
8RX0	3	1223	3936	15721
9GIO	3	1223	1223	1223
9U9D	6	1225	20352	20352
9LX0	8	1236	18852	19143
9LXH	3	1236	2799	18852
8ZJ2	7	1236	2218	20776
8ZJI	6	1236	2218	20776
8ZJJ	6	1236	2218	20776
8ZJL	6	1236	2218	20776
8ZJM	6	1236	2218	20776
8ZJK	6	1236	2218	20776
8XM7	3	1236	2218	20748
9OUK	2	1242	2758	2758
8VPQ	4	1245	7259	28091
9FWG	2	1245	10090	10090
9ZPC	4	1246	2025	2425
8ZU1	1	1251	1251	1251
8ZEQ	1	1259	1259	1259
9LGG	4	1261	1261	1261
9P0A	3	1261	1261	1261
9C7U	3	1263	7388	16810
9C7V	11	1263	2981	22441
9K3M	120	1264	2108	2108
9O04	42	1267	7234	7234
9LTS	4	1278	2865	3514
9LTU	4	1278	2865	3514
9LTV	4	1278	2865	3514
9FS5	10	1279	1279	1279
9C8D	12	1282	1282	1282
9C8E	11	1282	1282	1282
9FSM	30	1284	1284	1284
9PHW	48	1287	4789	42959
9IKC	3	1296	1296	1296
9LY9	120	1298	1298	1298
9LY8	60	1298	1298	1298
9KI1	54	1305	3146	20147
8VVN	7	1306	1306	14177
8ZLH	6	1308	1308	1308
9IV7	2	1310	1310	1310
8YAR	6	1312	4498	4651
8YAL	6	1312	4498	4635
8YAJ	6	1312	4498	4656
8Y9F	6	1312	4498	4656
9IFM	24	1314	4035	6645
8ZK2	4	1314	2832	3406
9BAP	1	1315	1315	1315
9LE7	42	1316	4007	4882
9LE8	26	1316	4007	4882
9EH5	16	1317	4789	42959
9YIA	19	1318	1318	1318
9YI9	18	1318	1318	1318
9I4I	90	1319	4591	34720
9CWT	29	1319	4232	32967
8ZP8	41	1324	8270	42845
9CCQ	30	1325	1325	1325
9CCP	30	1325	1325	1325
8XSM	1	1327	1327	1327
9NU1	4	1330	1330	1330
9NU2	18	1330	1330	1330
9NU3	18	1330	1330	1330
9IUR	5	1333	1333	1333
9IV3	2	1333	1333	1333
9FQI	1	1334	1334	1334
9FQJ	2	1334	1334	1334
9FQH	1	1334	1334	1334
9FLU	7	1336	1336	1336
9FLV	7	1336	1336	1336
9FLX	7	1336	1336	1336
9FLS	7	1336	1336	1336
9FLP	7	1336	1336	1336
9FLY	7	1336	1336	1336
8RGP	30	1336	9841	33977
8RGT	30	1336	9841	33977
8RGQ	30	1336	9841	33977
8RGR	30	1336	9841	33977
9FLW	7	1336	1336	1336
9G8B	7	1336	1336	1336
8ZLZ	2	1342	1342	1342
9I8V	3	1350	1575	4303
8Y7F	2	1351	1351	1351
9GLK	3	1359	1359	1359
8XSN	1	1360	1360	1360
9I9O	3	1362	1362	1362
9I9P	1	1362	1362	1362
9GN8	3	1363	1363	1363
9GLJ	3	1365	1365	1365
9GLP	3	1365	1365	1365
9GLH	3	1365	1365	1365
9GMN	3	1366	1366	1366
9IA8	3	1366	1366	1366
9GMM	1	1366	1366	1366
9GLL	3	1366	1366	1366
9GLI	1	1366	1366	1366
9I9M	3	1367	1367	1367
9GLM	3	1369	1369	1369
9GLN	3	1369	1369	1369
9GLO	3	1370	1370	1370
9I9N	3	1370	1370	1370
9QVE	1	1370	1370	1370
9Z6W	8	1376	6605	7049
9Z6U	8	1376	6605	7049
9Z6V	8	1376	6605	7049
9HKU	6	1378	1378	1378
8XO1	8	1382	20158	20158
9XED	8	1382	20158	20158
9L8W	4	1382	1382	1382
9XB9	8	1382	20158	20158
9BP7	15	1384	2611	2611
9BOY	15	1384	2619	2619
9BOZ	15	1384	2619	2619
9BP0	15	1384	2611	2611
9B41	24	1385	3312	3312
9P11	6	1386	9337	9337
9V4O	1	1389	1389	1389
9IOZ	12	1390	2042	5951
9KP6	5	1392	1392	1392
9KCA	5	1392	1392	1392
9KC9	5	1392	1392	1392
9DO6	6	1394	4813	4813
9DO7	39	1394	4813	4813
9BPO	4	1400	1400	1400
9CZS	2	1400	1400	1400
9L0W	4	1402	1402	3226
9L0M	4	1402	1402	3226
8YGQ	2	1402	1402	1402
9J2F	4	1405	2828	4228
9ED4	14	1405	2985	58038
9ED6	4	1405	17473	58038
9OZV	2	1409	1409	1409
9KU9	2	1414	1414	1414
9FP2	4	1414	31104	31104
9FO7	2	1414	1414	1414
9OI8	4	1419	5884	6032
9O4K	4	1419	5884	6032
9M5X	1	1419	1419	1419
9C6L	6	1422	1422	1422
9C6M	6	1422	1422	1422
9PQZ	2	1422	1484	1484
9D49	12	1422	1490	1490
9P4W	12	1422	1490	1490
9P4V	12	1422	1490	1490
8XJK	4	1432	6021	39599
8XJL	4	1432	6021	39599
8XJM	4	1432	6021	39599
9KQB	22	1432	2544	4731
9F0A	2	1434	15377	15377
9BR3	6	1435	1435	1435
9BR4	6	1435	1435	1435
8ZVQ	2	1436	1436	1436
9LIM	6	1443	1443	1443
9LIL	1	1443	1443	1443
9HJP	2	1443	1443	1443
8YT8	8	1444	3279	13039
9K95	3	1444	2546	8230
9KR6	2	1446	1446	1446
9JAL	2	1446	1446	1446
9JAQ	2	1446	1446	1446
9JAN	2	1446	1446	1446
9JAM	2	1446	1446	1446
9KQV	2	1446	1446	1446
9PEB	1	1447	1447	1447
9LIK	2	1451	1451	1451
9KU2	1	1451	1451	1451
9PEC	1	1452	1452	1452
9NCN	2	1454	1454	1454
9BI5	4	1458	11311	11311
9G5H	6	1459	1459	1459
9G6T	6	1459	1459	1459
9G6U	7	1459	1459	1459
8RBC	6	1459	1459	1459
8RBB	6	1459	1459	1459
8RBA	6	1459	1459	1459
9CCA	24	1460	12465	12465
8Z83	4	1462	2735	3512
8Z82	5	1462	2735	4982
8Z5P	8	1471	13207	19539
8Z5T	48	1471	13207	19539
8Z5Q	16	1471	13207	19539
8XYA	4	1471	13207	20158
9QK2	18	1475	3797	5080
9QPY	12	1475	3797	3797
9QJ5	12	1477	3805	3805
9QJ4	12	1477	3805	3805
9U60	2	1477	3798	3798
9U5Z	6	1477	3798	3798
9F61	6	1478	5297	23480
9F60	6	1478	5297	23480
9NCO	2	1480	1480	1480
8XBS	2	1481	1481	1481
9QUF	1	1484	1484	1484
9L8N	1	1499	1499	1499
8ZKU	4	1500	1500	3242
8ZKS	4	1500	1500	3242
8Z6B	4	1500	1500	3226
8ZKH	4	1500	1500	3242
8Z6H	4	1500	1500	3226
8Z6F	4	1500	1500	3242
8ZKR	4	1500	1500	3242
8ZL8	4	1500	1500	3242
8ZKT	4	1500	1500	3242
9C82	5	1501	1589	2425
9E9A	1	1504	1504	1504
9D47	36	1514	1514	1514
9D48	12	1514	1514	1514
8XCE	12	1521	1521	1521
8XCB	12	1521	1521	1521
8XGR	4	1522	11949	41405
9HVF	12	1524	4585	6779
9J6W	23	1524	5468	42845
8ZSO	37	1524	7390	42845
8ZSL	23	1524	5468	42845
8ZXZ	23	1524	5468	42845
8ZOU	40	1524	9336	42845
8ZSN	37	1524	7390	42845
8ZO8	39	1524	7598	42845
8ZSK	23	1524	5468	42845
8ZSM	23	1524	5468	42845
9HVE	16	1524	7601	14151
8ZSQ	38	1524	8270	42845
9J6H	23	1524	5468	42845
8ZSR	23	1524	5468	42845
9DAS	2	1525	1525	1525
9EAD	3	1526	4333	4669
9DHC	2	1526	1526	1526
9TI4	69	1527	5535	43097
9FZB	3	1527	1527	1527
8RCI	3	1527	1527	1527
9IKK	16	1529	1529	1529
8Y6Z	1	1532	1532	1532
9DHF	2	1537	1537	1537
9DHU	2	1537	1537	1537
9F23	12	1538	33488	33488
9DGK	2	1540	1540	1540
8XE8	1	1544	1544	1544
9OP1	3	1546	9916	10107
9BAZ	3	1547	6722	6722
8XKY	4	1547	4278	4278
8XKW	4	1547	4278	4278
8XKX	4	1547	4278	4278
9MYM	3	1548	1548	1548
9IXY	8	1550	18781	18781
9N9S	15	1550	6290	46993
9N9R	15	1550	6290	46993
9V7G	13	1551	2786	2865
9N4K	4	1552	4246	4246
9MIR	4	1552	6746	6746
9DNS	3	1553	16532	16532
9NS5	6	1553	8923	27981
9DNT	1	1553	1553	1553
9F44	6	1554	2890	58038
9EAC	3	1554	4290	4669
9F42	1	1554	1554	1554
8XA4	2	1557	1557	1557
9W9I	4	1566	6525	11065
9EGK	1	1571	1571	1571
9ELD	1	1572	1572	1572
9IKJ	16	1574	1574	1574
9I7S	6	1575	2224	2304
9I6B	4	1575	2304	2304
9IXZ	8	1575	20158	20158
9I7P	4	1575	2304	2304
9MHP	1	1575	1575	1575
9I7T	6	1575	2224	2304
9B1R	3	1578	1578	1578
9P6B	4	1585	1585	1585
8RCN	2	1587	2890	2890
8RCH	6	1587	2890	58038
8RCK	3	1587	2890	58038
9CME	1	1588	1588	1588
9MHG	5	1589	2425	13150
9MHH	5	1589	2425	13150
9MHF	5	1589	2425	13150
8ZEE	4	1589	2337	2535
9J3F	1	1594	1594	1594
9EVX	42	1601	2706	42380
9LIZ	8	1601	18781	18781
9G6G	22	1601	2537	42380
9LJ5	8	1601	18781	18781
9LJ1	8	1601	18781	18781
9G6F	24	1601	2537	2562
9G6H	28	1601	2571	42380
9X2O	4	1605	1605	1605
9SOC	4	1608	2964	2964
9J38	8	1611	20158	20158
8VDQ	1	1612	1612	1612
8VDP	1	1612	1612	1612
8VDR	1	1612	1612	1612
8VDO	3	1612	1612	1612
9QPV	1	1620	1620	1620
9DO8	6	1623	4813	4813
8XY7	2	1625	13207	13207
8XYB	3	1625	13207	20158
8Z5R	3	1625	13207	19539
8Z5M	3	1625	13207	19539
9TPF	6	1629	2799	2799
9TPE	6	1629	2833	2833
9UC8	8	1630	20158	20158
8RHN	16	1632	2587	4089
9FMN	2	1634	1634	1634
8S61	1	1636	1636	1636
9DWV	2	1637	3320	3320
9DWW	3	1637	2762	2842
9EVL	2	1640	1640	1640
9EVJ	2	1640	1640	1640
9EVK	6	1640	1640	1640
9MUU	7	1642	1642	1642
9FGP	6	1646	1646	1646
9UJ0	36	1647	1647	1647
8VQD	3	1650	6798	8684
9HUJ	4	1651	1651	1651
9HUH	2	1651	1651	1651
9HUI	2	1651	1651	1651
9J99	4	1651	4278	4278
9J61	8	1653	1653	1653
9DPZ	1	1654	1654	1654
9DOP	1	1654	1654	1654
9B98	3	1657	1657	1657
9B96	3	1657	1657	1657
9DOL	3	1657	1657	1657
9B97	3	1657	1657	1657
9OVQ	3	1658	1658	1658
8VTJ	3	1659	2752	3195
9KLM	3	1659	2721	3103
9E40	1	1662	1662	1662
9E3T	4	1662	1662	1662
9E42	2	1662	1662	1662
9KAN	4	1671	11098	11098
9I08	2	1676	1676	1676
9K2W	2	1677	2450	2450
9K2X	2	1677	2450	2450
8VM4	4	1678	1678	1678
8VLZ	4	1678	1678	1678
9H02	3	1685	1685	1685
9FL8	12	1685	2282	2282
9H0K	6	1685	1685	1685
8VQE	2	1688	1688	1688
9G6V	20	1689	2926	11492
9QF3	1	1694	1694	1694
9I5M	6	1696	1696	1696
8XA8	6	1697	9686	10082
8XA6	5	1697	7489	10082
8XA7	6	1697	7489	10082
9WZC	12	1702	1702	1702
9LV4	1	1704	1704	1704
9Q33	2	1706	6496	6496
9NGT	2	1706	3320	3320
9NFR	2	1706	3320	3320
9NFQ	3	1706	3320	22185
9KX8	2	1707	3105	3105
8V85	1	1710	1710	1710
9WZB	12	1717	1717	1717
9HJ8	12	1720	1720	1720
9HJ6	4	1720	1720	1720
9HLA	12	1720	1720	1720
9HL3	12	1720	1720	1720
9HLB	12	1720	1720	1720
9HL8	12	1720	1720	1720
9HLD	12	1720	1720	1720
9HLC	12	1720	1720	1720
9HL4	4	1720	1720	1720
9HL6	12	1720	1720	1720
9SAF	2	1722	2764	2764
9SAI	2	1722	2764	2764
9MUT	7	1723	1723	1723
9MUV	6	1723	1723	1723
9WD8	8	1724	20158	20158
9VEO	8	1724	20158	20158
9VEN	8	1724	20158	20158
9MY4	8	1728	20158	20158
9WZ8	14	1730	1730	1730
9WZG	14	1730	1730	1730
9WZ4	14	1730	1730	1730
9WZH	12	1730	1730	1730
9WZ5	12	1730	1730	1730
9N0X	2	1732	1732	1732
9DUO	4	1732	46690	46690
9H25	4	1733	1733	1733
9H27	3	1733	1733	1733
9H26	3	1733	1733	1733
9WZD	14	1734	1734	1734
9FHP	3	1736	1736	1736
9Q8J	3	1736	1736	1736
9MY3	8	1738	20158	20158
9MUS	7	1743	1743	1743
8RBK	1	1744	1744	1744
9IIN	8	1746	8782	22988
8ZWO	8	1746	8782	22988
9QGL	54	1747	6115	7083
9I5R	1	1747	1747	1747
9DLP	3	1748	9425	22510
9DUN	4	1749	4557	4557
9F22	6	1752	35130	35130
9N2D	18	1762	12092	30961
9EKT	4	1762	1762	1762
9EKS	4	1762	1762	1762
9EKU	4	1762	1762	1762
8RMN	40	1764	13826	13826
8RML	11	1764	1769	1769
8RMM	18	1764	1769	28267
9B34	2	1766	1766	1766
9J1B	2	1766	1766	1766
9B33	2	1766	1766	1766
9J1F	4	1766	1766	1766
9J1D	2	1766	1766	1766
9B37	18	1766	6006	6006
9J1A	1	1766	1766	1766
8YYA	1	1766	1766	1766
8YJ9	1	1766	1766	1766
9J1C	4	1766	1766	1766
9B36	24	1766	6006	6006
9FEQ	3	1766	1766	1766
8ZE7	1	1766	1766	1766
8RMK	22	1769	11114	11114
9CC2	4	1770	1770	1770
9EBA	8	1771	13110	13110
9EKV	4	1771	1771	1771
9EB9	8	1771	14644	14644
9CBZ	4	1773	1773	1773
9EKW	4	1775	1775	1775
9EL1	4	1775	1775	1775
9EKZ	4	1775	1775	1775
9EKX	4	1775	1775	1775
9EKY	4	1775	1775	1775
9EL0	4	1775	1775	1775
9ZPO	8	1777	20238	20238
9FEL	6	1786	1786	1786
9CUA	6	1787	1787	1787
9CUD	6	1787	1787	1787
9CUC	18	1787	1787	1787
9CUB	6	1787	1787	1787
9B4F	2	1789	1789	1789
9CUE	6	1789	1789	1789
9WZT	1	1793	1793	1793
9X04	1	1793	1793	1793
9WZS	1	1793	1793	1793
8YGL	3	1794	2741	3170
8YGD	3	1794	2741	3170
9KQJ	2	1795	1795	1795
9KQI	2	1795	1795	1795
9KQF	2	1795	1795	1795
9DK1	6	1797	3542	3542
9DK3	6	1797	3542	3542
9DK2	2	1797	3542	3542
9E06	6	1802	17198	17198
9E04	6	1802	17198	17198
9E02	6	1802	17198	17198
